Source,Target,Type
Ida Maria,Inger Lorre,Undirected
Ioanna Gika,Jaël Malli,Undirected
Isabel Monteiro,Margo Timmins,Undirected
Isobel Campbell,Tracey Thorn,Undirected
Jae Matthews,Kennedy Ashlyn,Undirected
Jane Weaver,Julia Holter,Undirected
Janet LaValley,Terri Brosius,Undirected
Janis Joplin,Joan Osborne,Undirected
Jen Trynin,Tracy Bonham,Undirected
Jenn Wasner,Jessica Dobson,Undirected
Jennifer Charles,Jessica Fichot,Undirected
Jewel Kilcher,Juliana Hatfield,Undirected
Jolie Holland,Joni Mitchell,Undirected
Joss Stone,Zsuzsanna Eva Ward,Undirected
Juanita Stein,Natalie Bergman,Undirected
Juice Newton,Sheena Easton,Undirected
Julie Shields,Mimi Parker,Undirected
KT Tunstall,Karin Bergquist,Undirected
Karen Carpenter,Kathryn Dawn Lang,Undirected
Karen Elson,Christa Päffgen,Undirected
Karen Marie Aagaard Ørsted Andersen,Trixie Whitley,Undirected
Karin Dreijer,Lykke Li,Undirected
Kasey Chambers,Katharine McPhee,Undirected
Kat Bjelland,Kathleen Hanna,Undirected
Kate Bush,Tori Amos,Undirected
Kathy Fisher,Eithne Pádraigín Ní Bhraonáin,Undirected
Katie Stelmanis,Natasha Khan,Undirected
Katy Perry,Zooey Deschanel,Undirected
Kelli Dayton,Mel Garside,Undirected
Kim Deal,Kim Shattuck,Undirected
Kim Gordon,Mary Timony,Undirected
Kristin Hersh,Kristy Thirsk,Undirected
Leigh Nash,Norah Jones,Undirected
Leona Lewis,Leona Naess,Undirected
Lera Lynn,Sharon Van Etten,Undirected
Lera Lynn,Sophie Allison,Undirected
Leslie Ann Phillips,Sheryl Crow,Undirected
Lily Wolter,Summer Krinsky,Undirected
Lindsay Lohan,Sydney Sweeney,Undirected
Lisa Loeb,Nina Persson,Undirected
Lisa Papineau,Lori Carson,Undirected
Liz Fraser,Liz Phair,Undirected
Liz Harris,Margaret Glaspy,Undirected
Loretta Lynn,Patsy Cline,Undirected
Lætitia Sadier,Mary Hansen,Undirected
Maggie Rogers,Maria McKee,Undirected
Maika Monroe,Mary Elizabeth Winstead,Undirected
Mandy Moore,Mary Christine Brockert,Undirected
Marilyn Martin,Martika,Undirected
Martha Davis,Skye Edwards,Undirected
Mary Lorson,Sarah Shannon,Undirected
Meiko,Skylar Gudasz,Undirected
Melina Duterte,Michelle Zauner,Undirected
Melissa Etheridge,Michelle Shocked,Undirected
Melissah Mirage,Sky Ferreira,Undirected
Meredith Monk,Yoko Ono,Undirected
Merrill Nisker,Mikaela Straus,Undirected
Mia Berrin,Sophie Allison,Undirected
Michaela Tobin,Nina Ljeti,Undirected
Milla Jovovich,Miranda Lee Richards,Undirected
Mitsuki Laycock,Rhiannon Bryan,Undirected
Natalie Dormer,Rose Leslie,Undirected
